gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
595330.400,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.500,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.600,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.700,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.800,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595330.900,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595331.000,33.709979,73.090901,556.80,0.000,0.000,2.80,8
595331.100,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.200,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.300,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.400,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.500,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.600,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.700,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.800,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595331.900,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595332.000,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595332.100,33.709980,73.090901,556.70,0.000,0.000,2.80,8
595332.200,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.300,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.400,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.500,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.600,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.700,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.800,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595332.900,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595333.000,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595333.100,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595333.200,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595333.300,33.709979,73.090901,556.70,0.000,0.000,2.80,8
595333.400,33.709979,73.090902,556.70,0.000,0.000,2.80,8
595333.500,33.709979,73.090902,556.70,0.000,0.000,2.80,8
595333.600,33.709979,73.090902,556.70,0.000,0.000,2.80,8
595333.700,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595333.800,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595333.900,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.000,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.100,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.200,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.300,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.400,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.500,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.600,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.700,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.800,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595334.900,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595335.000,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595335.100,33.709979,73.090902,556.60,0.000,0.000,2.80,8
595335.200,33.709980,73.090902,556.60,0.000,0.000,2.80,8
595335.300,33.709980,73.090902,556.60,0.000,0.000,2.80,8
595335.400,33.709980,73.090902,556.60,0.000,0.000,2.80,8
595335.500,33.709980,73.090902,556.50,0.000,0.000,2.80,8
595335.600,33.709980,73.090902,556.50,0.000,0.000,2.80,8
595335.700,33.709980,73.090902,556.50,0.000,0.000,2.80,8
595335.800,33.709980,73.090902,556.50,0.000,0.000,2.80,8
595335.900,33.709980,73.090902,556.50,0.000,0.000,2.80,8
595336.000,33.709980,73.090902,556.50,0.000,0.000,2.80,8
