GPStime,lat_deg,lon_deg,h_m,vn_mps,ve_mps
43441.1,33.7139355,73.0883378,554.5,0,0
43441.3,33.7139355,73.0883378,554.5,0,0
43441.4,33.7139355,73.0883378,554.5,0,0
43441.5,33.7139355,73.0883378,554.5,0,0
43441.6,33.7139355,73.0883378,554.5,0,0
43441.8,33.7139355,73.0883378,554.5,0,0
43441.9,33.7139355,73.0883378,554.5,0,0
43442,33.7139355,73.0883378,554.5,0,0
43442.1,33.7139355,73.0883378,554.5,0,0
43442.3,33.7139355,73.0883378,554.5,0,0
43442.4,33.7139355,73.0883378,554.5,0,0
43442.5,33.7139355,73.0883378,554.5,0,0
43442.6,33.7139355,73.0883378,554.5,0,0
43442.8,33.7139355,73.0883378,554.5,0,0
43442.9,33.7139355,73.0883378,554.5,0,0
43443,33.7139353,73.0883378,554.5,0,0
43443.2,33.7139353,73.0883378,554.5,0,0
43443.3,33.7139353,73.0883378,554.6,0,0
43443.5,33.7139355,73.0883378,554.6,0,0
43443.6,33.7139355,73.0883378,554.6,0,0
43443.7,33.7139355,73.0883378,554.6,0,0
43443.9,33.7139355,73.0883378,554.6,0,0
43444,33.7139355,73.0883377,554.6,0,0
43444.1,33.7139355,73.0883377,554.6,0,0
43444.3,33.7139355,73.0883377,554.6,0,0
43444.4,33.7139355,73.0883377,554.6,0,0
43444.5,33.7139355,73.0883377,554.6,0,0
43444.7,33.7139355,73.0883375,554.6,0,0
43444.8,33.7139355,73.0883375,554.6,0,0
43444.9,33.7139355,73.0883375,554.6,0,0
43445.1,33.7139355,73.0883375,554.6,0,0
43445.2,33.7139355,73.0883375,554.6,0,0
43445.3,33.7139355,73.0883375,554.6,0,0
43445.5,33.7139355,73.0883373,554.6,0,0
43445.6,33.7139355,73.0883373,554.6,0,0
43445.8,33.7139355,73.0883373,554.6,0,0
43445.9,33.7139355,73.0883373,554.6,0,0
43446.1,33.7139355,73.0883373,554.6,0,0
43446.2,33.7139355,73.0883372,554.6,0,0
43446.4,33.7139355,73.0883372,554.6,0,0
43446.6,33.7139355,73.0883372,554.6,0,0
43446.8,33.7139355,73.0883372,554.6,0,0
43447,33.7139355,73.0883372,554.6,0,0
43447.2,33.7139355,73.088337,554.6,0,0
43447.4,33.7139355,73.088337,554.6,0,0
43447.6,33.7139355,73.088337,554.6,0,0
43447.8,33.7139355,73.088337,554.6,0,0
43448,33.7139355,73.088337,554.6,0,0
43448.2,33.7139355,73.0883368,554.6,0,0
43448.4,33.7139355,73.0883368,554.6,0,0
43448.6,33.7139355,73.0883368,554.6,0,0
43448.8,33.7139357,73.0883368,554.6,0,0
43448.9,33.7139357,73.0883368,554.6,0,0
43449.1,33.7139357,73.0883367,554.6,0,0
43449.3,33.7139357,73.0883367,554.6,0,0
43449.4,33.7139357,73.0883367,554.6,0,0
43449.5,33.7139357,73.0883367,554.6,0,0
43449.7,33.7139357,73.0883365,554.6,0,0
43449.8,33.7139357,73.0883365,554.6,0,0
43450,33.7139357,73.0883365,554.6,0,0
