gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43411.800,33.7139280,73.0883397,554.60,0.000,0.000,0.80,17
43411.900,33.7139280,73.0883397,554.60,0.000,0.000,0.80,17
43412.000,33.7139282,73.0883395,554.50,0.000,0.000,0.80,17
43412.100,33.7139282,73.0883395,554.50,0.000,0.000,0.80,17
43412.200,33.7139283,73.0883395,554.50,0.000,0.000,0.80,17
43412.300,33.7139283,73.0883393,554.50,0.000,0.000,0.80,17
43412.400,33.7139283,73.0883393,554.50,0.000,0.000,0.80,17
43412.500,33.7139285,73.0883393,554.50,0.000,0.000,0.80,17
43412.600,33.7139285,73.0883392,554.50,0.000,0.000,0.80,17
43412.700,33.7139287,73.0883392,554.50,0.000,0.000,0.80,17
43412.800,33.7139287,73.0883392,554.50,0.000,0.000,0.80,17
43412.900,33.7139288,73.0883390,554.50,0.000,0.000,0.80,17
43413.000,33.7139288,73.0883390,554.50,0.000,0.000,0.80,17
43413.100,33.7139290,73.0883390,554.50,0.000,0.000,0.80,17
43413.200,33.7139290,73.0883388,554.50,0.000,0.000,0.80,17
43413.300,33.7139290,73.0883388,554.50,0.000,0.000,0.80,17
43413.400,33.7139292,73.0883388,554.40,0.000,0.000,0.80,17
43413.500,33.7139292,73.0883387,554.40,0.000,0.000,0.80,17
43413.600,33.7139293,73.0883387,554.40,0.000,0.000,0.80,17
43413.700,33.7139293,73.0883387,554.40,0.000,0.000,0.80,17
43413.800,33.7139295,73.0883387,554.40,0.000,0.000,0.80,17
43413.900,33.7139295,73.0883385,554.40,0.000,0.000,0.80,17
43414.000,33.7139297,73.0883385,554.40,0.000,0.000,0.80,17
43414.100,33.7139297,73.0883385,554.40,0.000,0.000,0.80,17
43414.200,33.7139297,73.0883383,554.40,0.000,0.000,0.80,17
43414.300,33.7139298,73.0883383,554.40,0.000,0.000,0.80,17
43414.400,33.7139298,73.0883383,554.40,0.000,0.000,0.80,17
43414.500,33.7139300,73.0883382,554.40,0.000,0.000,0.80,17
43414.600,33.7139300,73.0883382,554.40,0.000,0.000,0.80,17
43414.700,33.7139302,73.0883382,554.40,0.000,0.000,0.80,17
43414.800,33.7139302,73.0883380,554.40,0.000,0.000,0.80,17
43414.900,33.7139303,73.0883380,554.40,0.000,0.000,0.80,17
43415.000,33.7139303,73.0883380,554.40,0.000,0.000,0.80,17
43415.100,33.7139305,73.0883378,554.40,0.000,0.000,0.80,17
43415.200,33.7139305,73.0883378,554.40,0.000,0.000,0.80,17
43415.400,33.7139305,73.0883378,554.40,0.000,0.000,0.80,17
43415.500,33.7139307,73.0883378,554.40,0.000,0.000,0.80,17
43415.600,33.7139308,73.0883378,554.30,0.000,0.000,0.80,17
43415.700,33.7139308,73.0883378,554.30,0.000,0.000,0.80,17
43415.900,33.7139310,73.0883378,554.30,0.000,0.000,0.80,17
43416.000,33.7139312,73.0883378,554.30,0.000,0.000,0.80,17
43416.100,33.7139312,73.0883378,554.30,0.000,0.000,0.80,17
43416.200,33.7139313,73.0883378,554.30,0.000,0.000,0.80,17
43416.300,33.7139313,73.0883378,554.30,0.000,0.000,0.80,17
43416.400,33.7139315,73.0883378,554.30,0.000,0.000,0.80,17
43416.500,33.7139315,73.0883378,554.30,0.000,0.000,0.80,17
43416.600,33.7139317,73.0883378,554.20,0.000,0.000,0.80,17
43416.700,33.7139318,73.0883378,554.20,0.000,0.000,0.80,17
43416.800,33.7139318,73.0883378,554.20,0.000,0.000,0.80,17
43417.000,33.7139320,73.0883378,554.20,0.000,0.000,0.80,17
43417.100,33.7139320,73.0883377,554.20,0.000,0.000,0.80,17
43417.200,33.7139322,73.0883377,554.20,0.000,0.000,0.80,17
